date,temperature,humidity,luminosity
2020-12-02 16:06:26.627,21.9,24.5,117
2020-12-02 16:06:24.350,21.9,24.6,117
2020-12-02 16:06:22.072,21.9,24.6,117
2020-12-02 16:06:19.794,21.9,24.6,117
2020-12-02 16:06:17.517,21.9,24.6,117
2020-12-02 16:06:15.235,21.9,24.6,117
2020-12-02 16:06:12.957,21.9,24.6,117
2020-12-02 16:06:10.680,21.8,24.5,117
2020-12-02 16:06:08.402,21.8,24.5,117
2020-12-02 16:06:06.124,21.8,24.5,117
2020-12-02 16:06:03.843,21.8,24.5,117
2020-12-02 16:06:01.565,21.8,24.5,117
2020-12-02 16:05:59.287,21.8,24.5,117
2020-12-02 16:05:57.010,21.8,24.5,117
2020-12-02 16:05:54.732,21.8,24.5,117
2020-12-02 16:05:52.455,21.8,24.5,118
2020-12-02 16:05:50.173,21.8,24.5,117
2020-12-02 16:05:47.895,21.8,24.5,117
2020-12-02 16:05:45.617,21.8,24.5,117
2020-12-02 16:05:43.340,21.8,24.5,117
2020-12-02 16:05:41.062,21.8,24.5,117
2020-12-02 16:05:38.780,21.8,24.4,117
2020-12-02 16:05:36.503,21.8,24.4,117
2020-12-02 16:05:34.225,21.8,24.4,117
2020-12-02 16:05:31.947,21.8,24.4,117
2020-12-02 16:05:29.670,21.8,24.5,117
2020-12-02 16:05:27.392,21.8,24.4,117
2020-12-02 16:05:25.110,21.8,24.4,117
2020-12-02 16:05:22.833,21.8,24.4,117
2020-12-02 16:05:20.555,21.8,24.4,117
2020-12-02 16:05:18.277,21.8,24.4,117
2020-12-02 16:05:16.000,21.8,24.4,117
2020-12-02 16:05:13.722,21.8,24.4,117
2020-12-02 16:05:11.445,21.8,24.4,117
2020-12-02 16:05:09.163,21.8,24.4,117
2020-12-02 16:05:06.885,21.8,24.4,117
2020-12-02 16:05:04.608,21.8,24.4,117
2020-12-02 16:05:02.330,21.8,24.4,117
2020-12-02 16:05:00.052,21.8,24.4,117
2020-12-02 16:04:57.775,21.8,24.5,117
2020-12-02 16:04:55.493,21.8,24.5,117
2020-12-02 16:04:53.215,21.8,24.4,117
2020-12-02 16:04:50.937,21.8,24.4,117
2020-12-02 16:04:48.660,21.8,24.4,117
2020-12-02 16:04:46.382,21.8,24.4,117
2020-12-02 16:04:44.104,21.8,24.5,117
2020-12-02 16:04:41.822,21.8,24.4,117
2020-12-02 16:04:39.545,21.8,24.5,117
2020-12-02 16:04:37.267,21.8,24.5,117
2020-12-02 16:04:34.990,21.8,24.5,118
2020-12-02 16:04:32.712,21.8,24.5,117
2020-12-02 16:04:30.430,21.8,24.5,117
2020-12-02 16:04:28.153,21.8,24.5,117
2020-12-02 16:04:25.875,21.8,24.5,117
2020-12-02 16:04:23.597,21.8,24.5,117
2020-12-02 16:04:21.320,21.8,24.5,117
2020-12-02 16:04:19.042,21.8,24.5,117
2020-12-02 16:04:16.760,21.8,24.5,117
2020-12-02 16:04:14.482,21.8,24.5,117
2020-12-02 16:04:12.205,21.8,24.5,117
2020-12-02 16:04:09.927,21.8,24.4,117
2020-12-02 16:04:07.650,21.8,24.4,117
2020-12-02 16:04:05.372,21.8,24.4,117
2020-12-02 16:04:03.090,21.8,24.4,117
2020-12-02 16:04:00.813,21.8,24.4,117
2020-12-02 16:03:58.535,21.8,24.4,117
2020-12-02 16:03:56.257,21.8,24.4,117
2020-12-02 16:03:53.980,21.8,24.4,118
2020-12-02 16:03:51.702,21.8,24.4,115
2020-12-02 16:03:49.421,21.8,24.4,117
2020-12-02 16:03:47.143,21.8,24.4,117
2020-12-02 16:03:44.865,21.8,24.4,117
2020-12-02 16:03:42.588,21.8,24.4,117
2020-12-02 16:03:40.310,21.8,24.4,116
2020-12-02 16:03:38.032,21.8,24.4,118
2020-12-02 16:03:35.751,21.8,24.4,117
2020-12-02 16:03:33.473,21.9,24.5,117
2020-12-02 16:03:31.195,21.9,24.5,117
2020-12-02 16:03:28.917,21.9,24.5,117
2020-12-02 16:03:26.640,21.9,24.5,117
2020-12-02 16:03:24.362,21.9,24.5,117
2020-12-02 16:03:22.085,21.9,24.5,117
2020-12-02 16:03:19.803,21.9,24.5,117
